,city,country,lat,lng,max temp,humidity,cloudiness,wind,description
228,,,-79.081959398702,-46.74282459753799,265.58,95,100,9.38,light snow
229,,,-66.38941846812578,38.798746700971265,269.43,92,63,2.25,broken clouds
230,,,-58.850372171991154,-42.526884629621414,275.4,97,100,17.04,moderate rain
231,,,-57.35949680862285,82.55139335725954,273.22,99,100,11.37,snow
232,,,68.73055387359184,81.6654841340779,239.69,90,46,3.14,scattered clouds
233,,,-48.334435646671594,48.81033098435171,276.93,78,100,11.29,overcast clouds
234,,,44.20736473443591,-24.05191939412964,285.35,49,92,11.28,overcast clouds
235,,,89.16700391306372,33.96718330561839,244.22,100,30,4.78,scattered clouds
236,,,31.793913166325808,-78.47978055287649,293.78,66,74,6.81,broken clouds
237,,,14.996919139895041,-54.352894679973545,299.26,79,100,9.86,overcast clouds
238,,,-28.422224077562134,-15.246989379544416,293.84,84,100,7.38,light rain
239,San José,CO,1.4384321038429135,-78.40167016432243,293.73,97,100,0.74,light rain
240,,,-29.346985124795147,38.504618645095434,297.26,89,100,4.47,overcast clouds
241,,,-68.90790615895096,-1.328570781547299,262.58,99,63,3.01,broken clouds
242,,,-36.29785758170399,-31.705791065449816,290.8,93,4,6.88,clear sky
243,,,16.7098777040342,-21.39695532641909,296.25,70,100,8.64,overcast clouds
244,Gayny,RU,60.393933177901886,53.17008932556462,256.35,96,46,2.45,scattered clouds
245,,,-80.61429375357325,-81.80793757312009,262.87,96,100,9.07,snow
246,,,-88.04964150807074,-40.104958064070296,247.21,88,76,3.07,broken clouds
247,,,55.724368879094214,-17.765229114147687,280.66,54,100,13.59,overcast clouds
248,Hawf,YE,16.54929720801387,52.76111915979544,293.36,57,0,5.14,clear sky
249,,,84.4492753548862,58.84000431339865,241.82,100,24,3.52,few clouds
250,Ash Shindaghah,AE,25.306077154250247,54.67653216659883,294.23,52,54,3.3,broken clouds
251,Chāh Gachī,IR,27.961977235726906,52.32479158886241,285.29,44,8,1.22,clear sky
252,,,66.54756493752402,-78.51483179082463,251.88,93,100,5.72,overcast clouds
253,,,-57.78713498743539,-42.930725775355484,276.56,98,100,14.86,light rain
254,Mariápolis,BR,-21.720948482155947,-51.24186048944128,298.73,61,98,4.61,light rain
255,Aral,KZ,46.80354431053868,61.66276633214028,266.32,69,73,10.31,broken clouds
256,,,-85.60273083459684,-22.345696527353496,247,79,26,4.23,scattered clouds
257,Brazil,BR,-9.961256499550842,-53.99831261155122,294.65,97,100,0.35,overcast clouds
258,,,-76.41620037938556,31.12828946088142,239.24,100,100,3.73,overcast clouds
259,,,-35.649145695872576,4.483209019373064,288.74,69,99,5.73,overcast clouds
260,,,77.6149050724589,-50.150031885089234,246.69,87,81,7.23,broken clouds
261,,,88.71419255251749,19.573060866801313,244.81,100,78,4.3,broken clouds
262,,,-66.4436555640209,40.48543455929547,270.81,82,99,2.45,overcast clouds
263,La Croix Depot,US,46.06624318084468,-70.25893565032466,273.07,77,38,6.51,scattered clouds
264,Pierowall,GB,59.97411459551938,-4.195446697928531,283.95,82,100,21.76,overcast clouds
265,Vyaz'ma,RU,55.34079026274341,34.6515750528836,270.28,95,100,4.23,overcast clouds
266,,,23.41761465112573,-43.7273947445768,297.14,62,5,11.14,clear sky
267,Maindong,CN,31.02920228131866,84.58536712098226,262.87,31,2,3.58,clear sky
268,,,-23.809859082929634,59.8515050276246,298.05,70,18,9.93,light rain
269,,,17.6274332665909,21.17872377582802,290.2,22,37,5.3,scattered clouds
270,,,-20.544010696398686,73.97823366391489,297.43,76,10,8.32,clear sky
271,Nanortalik,GL,59.51657414213821,-46.23638499261128,273.13,66,100,8.57,overcast clouds
272,Shemogue,CA,46.214728353754396,-64.14995616634313,276.59,65,6,10.54,clear sky
273,,,-61.57890021560791,78.63796488031056,271.07,93,100,11.25,light snow
274,,,18.664937409777835,-29.74949324122823,296.31,70,0,11.47,clear sky
275,,,3.0358726122583164,-24.324289756123378,300.39,78,15,6.92,few clouds
276,,,-75.55354643094691,-11.358850100135996,244.4,100,38,3.54,scattered clouds
277,,,-36.77117714738703,84.99031070789269,285.49,66,14,5.14,few clouds
278,,,30.041462201056333,-76.66478180419719,296.29,81,100,8.26,overcast clouds
279,,,22.756799022407094,12.493322280829332,283.03,33,0,5.51,clear sky
280,,,-24.325377621187002,52.72426357284567,298.36,77,1,8.5,clear sky
281,,,-9.877325255203374,-17.403961915159087,297.28,79,100,8.77,overcast clouds
282,,,-69.17312720911505,37.126103199914624,258.71,91,60,2.53,broken clouds
283,São José dos Campos,BR,-23.051560532614232,-46.07524846454095,295.29,92,60,1.24,broken clouds
284,,,-7.6628544406775205,77.39962623055814,300.15,79,74,3.38,broken clouds
285,Henderson,US,37.90241482268708,-87.64771816484686,279.42,55,1,4.12,clear sky
286,,,-26.356168735791243,85.98678608453599,295.13,76,59,8.59,broken clouds
287,Tinos,GR,37.728164755578206,25.2095432523828,288.6,69,5,9.68,clear sky
288,,,-62.21289644450154,73.52551156042199,271.02,96,100,14.05,snow
289,San Julián,CU,21.244616175822685,-84.63040172588971,300.29,72,16,5.2,few clouds
290,,,73.81613573574433,-36.91046361503008,246.71,98,100,3.61,overcast clouds
291,,,-69.93359757570511,0.4974472008981081,260.53,93,31,3.56,scattered clouds
292,,,75.22547649701644,71.42752299964769,261.36,93,100,7.55,overcast clouds
293,,,1.254379222284939,89.20828106006124,301.44,74,96,5.1,overcast clouds
294,,,-55.72570250217513,35.07204034607567,272.94,98,100,10.82,light snow
295,Sar-Tyube,KZ,48.56692436906971,56.02676057098955,265.07,66,0,5.05,clear sky
296,,,78.44544674790745,29.81378293349067,262.98,89,100,2.16,overcast clouds
297,Iqaluit,CA,64.17614555435219,-70.90669123179617,251.17,95,100,1.23,overcast clouds
298,Partenit,UA,44.4389117046515,34.7015399212235,285.24,87,86,4.48,overcast clouds
299,Kavumu,CD,-1.870139285477407,28.148056017988097,291.53,98,100,1.13,overcast clouds
300,,,65.8054677058378,-75.97676070022368,252.41,100,68,4.11,broken clouds
301,,,-73.8020399478745,89.09717569926829,246.31,91,100,6.53,overcast clouds
302,,,-22.20890761991768,38.612934706945225,300.31,81,0,7.04,clear sky
303,Prijepolje,RS,43.35728128168304,19.65337640226771,269.09,98,100,1.01,light snow
304,Dundas,GL,76.61946698721576,-72.1954120382534,254.48,100,100,3.93,overcast clouds
305,Kom Ombo,EG,24.425943766971855,33.05348020743189,295.71,56,52,2.2,broken clouds
306,,,31.01501168238383,-23.766876848696768,292.59,63,53,3.48,broken clouds
307,,,41.82640716953776,-59.74811765884746,281.89,67,100,13.08,overcast clouds
308,Kazachka,RU,53.28453110995903,37.9811058608508,270.1,79,100,4.83,overcast clouds
309,,,84.18797482864557,-74.99665242506444,242.46,100,68,2.49,broken clouds
310,Sīrjān,IR,28.604299394360922,55.89587420422211,280.21,32,0,3.22,clear sky
311,,,81.77147254661392,52.33798315179109,251.72,100,100,6.99,overcast clouds
312,,,-60.29420173608217,-88.77908703835796,275.98,79,71,8.27,broken clouds
313,,,58.043968490191986,-13.214359770048688,280.67,57,100,13.52,overcast clouds
314,Syamzha,RU,59.91638281809921,40.64860030589193,268.36,95,100,3.43,overcast clouds
315,Mponela,MW,-13.518561393232332,33.706854642526054,293.53,70,0,4.5,clear sky
316,Pandamatenga,BW,-18.936589538739398,24.479163728050395,297.5,51,100,3.04,overcast clouds
317,Quellón,CL,-43.97571420521127,-73.77281978070454,284.15,87,90,2.06,overcast clouds
318,Pedrinópolis,BR,-19.44623414799237,-47.3633364886704,292.73,93,95,2.09,heavy intensity rain
319,,,-86.5056777472094,59.21660981797925,241.67,89,28,3.25,scattered clouds
320,,,83.21765986459357,82.40559109847604,254.64,97,100,4.76,overcast clouds
