City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Nantai,CN,2021-12-05 23:09:39,40.9241,122.8044,33.87,66,97,8.93
223,Kachug,RU,2021-12-05 23:09:39,53.9606,105.8817,11.34,96,100,1.14
224,Mitu,CO,2021-12-05 23:09:39,1.1983,-70.1733,74.93,92,88,1.66
225,Mokhotlong,LS,2021-12-05 23:09:40,-29.2894,29.0675,53.24,82,100,2.33
226,Nova Olimpia,BR,2021-12-05 23:09:40,-14.7972,-57.2881,76.62,90,99,0.89
227,Gorontalo,ID,2021-12-05 23:09:40,0.5412,123.0595,78.64,89,89,2.77
228,Puerto Quijarro,BO,2021-12-05 23:09:41,-17.7833,-57.7667,73.2,94,100,2.15
229,Nome,US,2021-12-05 23:09:41,64.5011,-165.4064,32.07,87,90,26.46
230,Beringovskiy,RU,2021-12-05 23:06:35,63.05,179.3167,6.84,81,100,35.99
231,Vryburg,ZA,2021-12-05 23:10:41,-26.9566,24.7284,61.77,73,72,4.5
232,Palimbang,PH,2021-12-05 23:10:42,6.2106,124.1894,79.45,82,10,3.06
233,Praia Da Vitoria,PT,2021-12-05 23:10:42,38.7333,-27.0667,60.76,82,42,4.88
234,Makarov,RU,2021-12-05 23:10:42,48.6333,142.8,37.69,81,13,15.17
235,Pasighat,IN,2021-12-05 23:10:43,28.0667,95.3333,63.07,61,81,3.2
236,Arraial Do Cabo,BR,2021-12-05 23:10:43,-22.9661,-42.0278,74.62,86,49,20.18
237,Santo Domingo,DO,2021-12-05 23:05:52,18.5001,-69.9886,79.03,86,40,4.0
238,Apache Junction,US,2021-12-05 23:10:11,33.4151,-111.5496,76.51,24,1,5.99
239,Yerbogachen,RU,2021-12-05 23:10:44,61.2767,108.0108,-23.57,100,92,2.46
240,Adre,TD,2021-12-05 23:10:44,13.4667,22.2,70.92,24,51,14.32
241,Ketchikan,US,2021-12-05 23:10:44,55.3422,-131.6461,30.67,80,90,0.0
242,Zyryanka,RU,2021-12-05 23:08:19,65.75,150.85,-43.55,96,88,5.61
